"id","title","release_year","country","duration","language","certification","gross","budget"
1,"Intolerance: Love's Struggle Throughout the Ages",1916,"USA",123,,"Not Rated",,385907
2,"Over the Hill to the Poorhouse",1920,"USA",110,,,3000000,100000
3,"The Big Parade",1925,"USA",151,,"Not Rated",,245000
4,"Metropolis",1927,"Germany",145,"German","Not Rated",26435,6000000
5,"Pandora's Box",1929,"Germany",110,"German","Not Rated",9950,
6,"The Broadway Melody",1929,"USA",100,"English","Passed",2808000,379000
7,"Hell's Angels",1930,"USA",96,"English","Passed",,3950000
8,"A Farewell to Arms",1932,"USA",79,"English","Unrated",,800000
9,"42nd Street",1933,"USA",89,"English","Unrated",2300000,439000
10,"She Done Him Wrong",1933,"USA",66,"English","Approved",,200000
11,"It Happened One Night",1934,"USA",65,"English","Unrated",,325000
12,"Top Hat",1935,"USA",81,"English","Approved",3000000,609000
13,"Modern Times",1936,"USA",87,"English","G",163245,1500000
14,"The Charge of the Light Brigade",1936,"USA",100,"English","Approved",,1200000
15,"Snow White and the Seven Dwarfs",1937,"USA",83,"English","Approved",184925485,2000000
16,"The Prisoner of Zenda",1937,"USA",101,"English","Approved",,
17,"Alexander's Ragtime Band",1938,"USA",106,"English","Approved",,2000000
18,"You Can't Take It with You",1938,"USA",126,"English","Approved",,1644736
19,"Gone with the Wind",1939,"USA",226,"English","G",198655278,3977000
20,"Mr. Smith Goes to Washington",1939,"USA",120,"English","Not Rated",,1500000
21,"The Wizard of Oz",1939,"USA",102,"English","Passed",22202612,2800000
22,"Boom Town",1940,"USA",119,"English","Passed",,1614000
23,"Fantasia",1940,"USA",120,"English","G",76400000,2280000
24,"Pinocchio",1940,"USA",88,"English","Approved",84300000,2600000
25,"Rebecca",1940,"USA",130,"English","Not Rated",,1288000
26,"The Blue Bird",1940,"USA",83,"English","Approved",,
27,"How Green Was My Valley",1941,"USA",118,"English","Approved",,1250000
28,"Bambi",1942,"USA",70,"English","Approved",102797150,
29,"Casablanca",1942,"USA",82,"English","PG",,950000
30,"A Guy Named Joe",1943,"USA",122,"English","Passed",,2627000
31,"Bathing Beauty",1944,"USA",101,"English","Passed",,2361000
32,"Spellbound",1945,"USA",95,"English","Unrated",,1696377
33,"State Fair",1945,"USA",100,"English","Approved",,
34,"The Lost Weekend",1945,"USA",101,"English","Not Rated",,1250000
35,"The Valley of Decision",1945,"USA",119,"English","Passed",,2160000
36,"Duel in the Sun",1946,"USA",144,"English","Unrated",20400000,8000000
37,"It's a Wonderful Life",1946,"USA",118,"English","PG",,3180000
38,"The Best Years of Our Lives",1946,"USA",172,"English","Not Rated",23650000,2100000
39,"Gentleman's Agreement",1947,"USA",118,"English","Approved",,2000000
40,"The Lady from Shanghai",1947,"USA",92,"English","Not Rated",7927,2300000
41,"Tycoon",1947,"USA",95,"English","Approved",,3209000
42,"Open Secret",1948,"USA",68,"English","Approved",,
43,"Red River",1948,"USA",126,"English","Approved",,3000000
44,"The Pirate",1948,"USA",102,"English","Approved",2956000,3700000
45,"Sands of Iwo Jima",1949,"USA",109,"English","Approved",,1000000
46,"She Wore a Yellow Ribbon",1949,"USA",103,"English","Unrated",,1600000
47,"Annie Get Your Gun",1950,"USA",107,"English","Passed",8000000,3768785
48,"A Streetcar Named Desire",1951,"USA",125,"English","PG",,1800000
49,"Quo Vadis",1951,"USA",171,"English","Passed",,7623000
50,"Show Boat",1951,"USA",108,"English","Approved",,2295429
51,"Deadline - U.S.A.",1952,"USA",87,"English",,,
52,"High Noon",1952,"USA",85,"English","PG",,750000
53,"Singin' in the Rain",1952,"USA",103,"English","Approved",,2540800
54,"The Greatest Show on Earth",1952,"USA",152,"English","Not Rated",36000000,4000000
55,"From Here to Eternity",1953,"USA",118,"English","Not Rated",,1650000
56,"Niagara",1953,"USA",92,"English","Approved",,1250000
